    0.10000E-03    0.45224E+03
    0.10202E-03    0.46101E+03
    0.10408E-03    0.46994E+03
    0.10618E-03    0.47904E+03
    0.10833E-03    0.48832E+03
    0.11052E-03    0.49778E+03
    0.11275E-03    0.50743E+03
    0.11503E-03    0.51726E+03
    0.11735E-03    0.52728E+03
    0.11972E-03    0.53749E+03
    0.12214E-03    0.54790E+03
    0.12461E-03    0.55851E+03
    0.12712E-03    0.56933E+03
    0.12969E-03    0.58036E+03
    0.13231E-03    0.59160E+03
    0.13499E-03    0.60306E+03
    0.13771E-03    0.61474E+03
    0.14049E-03    0.62664E+03
    0.14333E-03    0.63878E+03
    0.14623E-03    0.65115E+03
    0.14918E-03    0.66375E+03
    0.15220E-03    0.67661E+03
    0.15527E-03    0.68971E+03
    0.15841E-03    0.70306E+03
    0.16161E-03    0.71667E+03
    0.16487E-03    0.73054E+03
    0.16820E-03    0.74469E+03
    0.17160E-03    0.75910E+03
    0.17507E-03    0.77379E+03
    0.17860E-03    0.78877E+03
    0.18221E-03    0.80403E+03
    0.18589E-03    0.81959E+03
    0.18965E-03    0.83545E+03
    0.19348E-03    0.85162E+03
    0.19739E-03    0.86809E+03
    0.20138E-03    0.88489E+03
    0.20544E-03    0.90200E+03
    0.20959E-03    0.91945E+03
    0.21383E-03    0.93723E+03
    0.21815E-03    0.95536E+03
    0.22255E-03    0.97383E+03
    0.22705E-03    0.99266E+03
    0.23164E-03    0.10119E+04
    0.23632E-03    0.10314E+04
    0.24109E-03    0.10513E+04
    0.24596E-03    0.10717E+04
    0.25093E-03    0.10924E+04
    0.25600E-03    0.11135E+04
    0.26117E-03    0.11350E+04
    0.26645E-03    0.11569E+04
    0.27183E-03    0.11793E+04
    0.27732E-03    0.12020E+04
    0.28292E-03    0.12252E+04
    0.28864E-03    0.12489E+04
    0.29447E-03    0.12730E+04
    0.30042E-03    0.12976E+04
    0.30649E-03    0.13226E+04
    0.31268E-03    0.13481E+04
    0.31899E-03    0.13741E+04
    0.32544E-03    0.14006E+04
    0.33201E-03    0.14276E+04
    0.33872E-03    0.14552E+04
    0.34556E-03    0.14832E+04
    0.35254E-03    0.15118E+04
    0.35966E-03    0.15409E+04
    0.36693E-03    0.15706E+04
    0.37434E-03    0.16008E+04
    0.38190E-03    0.16316E+04
    0.38962E-03    0.16630E+04
    0.39749E-03    0.16950E+04
    0.40552E-03    0.17276E+04
    0.41371E-03    0.17609E+04
    0.42207E-03    0.17947E+04
    0.43060E-03    0.18292E+04
    0.43929E-03    0.18643E+04
    0.44817E-03    0.19001E+04
    0.45722E-03    0.19366E+04
    0.46646E-03    0.19738E+04
    0.47588E-03    0.20116E+04
    0.48550E-03    0.20502E+04
    0.49530E-03    0.20895E+04
    0.50531E-03    0.21295E+04
    0.51552E-03    0.21703E+04
    0.52593E-03    0.22119E+04
    0.53656E-03    0.22542E+04
    0.54739E-03    0.22973E+04
    0.55845E-03    0.23412E+04
    0.56973E-03    0.23860E+04
    0.58124E-03    0.24315E+04
    0.59299E-03    0.24779E+04
    0.60496E-03    0.25252E+04
    0.61719E-03    0.25734E+04
    0.62965E-03    0.26224E+04
    0.64237E-03    0.26724E+04
    0.65535E-03    0.27232E+04
    0.66859E-03    0.27750E+04
    0.68210E-03    0.28278E+04
